,Наименование,Длина,"Цена за 1т, руб. с НДС","Цена за 1т, руб. с НДС.1",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
0,Арматура Ат800 10,6.7,62 500 >2т,,МБН Маркет СПб (812) 240-74-73,,Санкт-Петербург,10,Арматура Ат800,Металлопрокат
1,Арматура Ат800 10,7.6,62 800 >15т,62 800 5-15т,Металлоторг Мск (495) 727-39-74,,Москва,10,Арматура Ат800,Металлопрокат
2,Арматура Ат800 10,7.6,62 800 >15т,62 800 5-15т,Металлоторг Сам (846) 374-14-14,,Самара,10,Арматура Ат800,Металлопрокат
3,Арматура Ат800 10,7.6,62 800 >15т,62 800 5-15т,Металлоторг Каз (843) 239-53-83,,Казань,10,Арматура Ат800,Металлопрокат
4,Арматура Ат800 10,,65 500,67 500 1-5т,Металл Индустрия Крдр (861) 279-17-00,,Краснодар,10,Арматура Ат800,Металлопрокат
5,Арматура Ат800 10 (от 20т),6-14 м/д,звоните,,Абинский ЭлектроМеталлургический Завод Мск (499) 643-83-04,,Москва,10,Арматура Ат800,Металлопрокат
6,Арматура Ат800 10,,звоните,,Абинский ЭлектроМеталлургический Завод Крдр (861) 504-18-72,,Краснодар,10,Арматура Ат800,Металлопрокат
7,Арматура Ат800 10,11.7,звоните,,Металлокомплект-М Мск (495) 739-98-92,,Москва,10,Арматура Ат800,Металлопрокат
0,Арматура Ат800 12,11.7,54 500 >15т,54 500 5-15т,Металлоторг Каз (843) 239-53-83,,Казань,12,Арматура Ат800,Металлопрокат
1,Арматура Ат800 12,6.7,55 500 >15т,55 500 5-15т,Металлоторг Орен (3532) 43-60-66,,Оренбург,12,Арматура Ат800,Металлопрокат
2,Арматура Ат800 12,11.7,55 500 >15т,57 500 5-15т,Металлоторг Сам (846) 374-14-14,,Самара,12,Арматура Ат800,Металлопрокат
3,Арматура Ат800 12,7.6,57 500 >15т,57 500 5-15т,Металлоторг Чел (351) 255-08-08,,Челябинск,12,Арматура Ат800,Металлопрокат
4,Арматура Ат800 12,11.7,58 500 >15т,58 500 5-15т,Металлоторг Вмр (4922) 52-22-44,,Владимир,12,Арматура Ат800,Металлопрокат
5,Арматура Ат800 12,7.6,58 500 >15т,58 500 5-15т,Металлоторг Яро (4852) 67-47-05,,Ярославль,12,Арматура Ат800,Металлопрокат
6,Арматура Ат800 12,7.6,58 500 >15т,58 500 5-15т,Металлоторг Бря (4832) 72-68-08,,Брянск,12,Арматура Ат800,Металлопрокат
7,Арматура Ат800 12,6.7,58 500 >15т,58 500 5-15т,Металлоторг Бря (4832) 72-68-08,,Брянск,12,Арматура Ат800,Металлопрокат
8,Арматура Ат800 12,6.7,60 500 >2т,,МБН Маркет СПб (812) 240-74-73,,Санкт-Петербург,12,Арматура Ат800,Металлопрокат
9,Арматура Ат800 12,6.7,61 800 >15т,62 100 5-15т,Металлоторг Клг (4842) 55-55-65,,Калуга,12,Арматура Ат800,Металлопрокат
10,Арматура Ат800 12,6.7,61 800 >15т,62 100 5-15т,Металлоторг Чел (351) 255-08-08,,Челябинск,12,Арматура Ат800,Металлопрокат
11,Арматура Ат800 12,7.6,61 800 >15т,62 100 5-15т,Металлоторг Ряз (4912) 330-203,,Рязань,12,Арматура Ат800,Металлопрокат
12,Арматура Ат800 12,6.7,61 800 >15т,62 100 5-15т,Металлоторг Ряз (4912) 330-203,,Рязань,12,Арматура Ат800,Металлопрокат
13,Арматура Ат800 12,7.6,61 800 >15т,62 100 5-15т,Металлоторг Уль (8422) 34-99-00,,Ульяновск,12,Арматура Ат800,Металлопрокат
14,Арматура Ат800 12,6.7,61 800 >15т,62 100 5-15т,Металлоторг Уль (8422) 34-99-00,,Ульяновск,12,Арматура Ат800,Металлопрокат
15,Арматура Ат800 12,7.6,61 800 >15т,62 100 5-15т,Металлоторг Влгда (8172) 33-03-63,,Вологда,12,Арматура Ат800,Металлопрокат
16,Арматура Ат800 12,6.7,61 800 >15т,62 100 5-15т,Металлоторг Влгда (8172) 33-03-63,,Вологда,12,Арматура Ат800,Металлопрокат
17,Арматура Ат800 12,7.6,61 800 >15т,62 100 5-15т,Металлоторг Иж (3412) 57-38-08,,Ижевск,12,Арматура Ат800,Металлопрокат
18,Арматура Ат800 12,6.7,61 800 >15т,62 100 5-15т,Металлоторг Кур (4712) 39-04-94,,Курск,12,Арматура Ат800,Металлопрокат
19,Арматура Ат800 12,6.7,61 800 >15т,62 100 5-15т,Металлоторг Врнж (473) 233-32-42,,Воронеж,12,Арматура Ат800,Металлопрокат
20,Арматура Ат800 12,6.7,61 800 >15т,62 100 5-15т,Металлоторг Лип (4742) 75-89-66,,Липецк,12,Арматура Ат800,Металлопрокат
21,Арматура Ат800 12,7.6,61 800 >15т,62 100 5-15т,Металлоторг Сртв (8452) 44-65-95,,Саратов,12,Арматура Ат800,Металлопрокат
22,Арматура Ат800 12,11.3,61 800 >15т,62 100 5-15т,Металлоторг Сртв (8452) 44-65-95,,Саратов,12,Арматура Ат800,Металлопрокат
23,Арматура Ат800 12 2ф,6.7,61 800 >3т,61 800 <3т,ЕВРАЗ Маркет Уфа (800) 511-09-53,,Уфа,12,Арматура Ат800,Металлопрокат
24,Арматура Ат800 12,6.7,61 800 >15т,62 100 5-15т,Металлоторг Мск (495) 727-39-74,,Москва,12,Арматура Ат800,Металлопрокат
25,Арматура Ат800 12,11.7,61 800 >15т,62 100 5-15т,Металлоторг Мск (495) 727-39-74,,Москва,12,Арматура Ат800,Металлопрокат
26,Арматура Ат800 12,6.7,61 800 >15т,62 100 5-15т,Металлоторг Уфа (347) 287-52-73,,Уфа,12,Арматура Ат800,Металлопрокат
27,Арматура Ат800 12,6.7,61 800 >15т,62 100 5-15т,Металлоторг Сам (846) 374-14-14,,Самара,12,Арматура Ат800,Металлопрокат
28,Арматура Ат800 12,7.85,61 800 >15т,62 100 5-15т,Металлоторг Каз (843) 239-53-83,,Казань,12,Арматура Ат800,Металлопрокат
29,Арматура Ат800 12,6.7,61 800 >15т,62 100 5-15т,Металлоторг Каз (843) 239-53-83,,Казань,12,Арматура Ат800,Металлопрокат
30,Арматура Ат800 12,,62 000,,А ГРУПП Бар (3852) 73-05-67,,Барнаул,12,Арматура Ат800,Металлопрокат
31,Арматура Ат800 12,6.7,62 000 >1т,62 400 0.5-1т,Сталепромышленная компания Яро (4852) 60-85-53,,Ярославль,12,Арматура Ат800,Металлопрокат
32,Арматура Ат800 12,11.7,62 000 >1т,62 400 0.5-1т,Сталепромышленная компания Яро (4852) 60-85-53,,Ярославль,12,Арматура Ат800,Металлопрокат
33,Арматура Ат800 12,6.7,62 000 >1т,62 400 0.5-1т,Сталепромышленная компания Мск (4912) 77-58-47,,Москва,12,Арматура Ат800,Металлопрокат
34,Арматура Ат800 12,11.7,62 000 >1т,62 400 0.5-1т,Сталепромышленная компания Мск (4912) 77-58-47,,Москва,12,Арматура Ат800,Металлопрокат
35,Арматура Ат800 12,6.7,62 000 >1т,62 400 0.5-1т,Сталепромышленная компания Ряз (4912) 77-58-47,,Рязань,12,Арматура Ат800,Металлопрокат
36,Арматура Ат800 12,11.7,62 000 >1т,62 400 0.5-1т,Сталепромышленная компания Ряз (4912) 77-58-47,,Рязань,12,Арматура Ат800,Металлопрокат
37,Арматура Ат800 12,6.7,62 000 >1т,62 400 0.5-1т,Сталепромышленная компания Тула (4872) 63-68-47,,Тула,12,Арматура Ат800,Металлопрокат
38,Арматура Ат800 12,11.7,62 000 >1т,62 400 0.5-1т,Сталепромышленная компания Тула (4872) 63-68-47,,Тула,12,Арматура Ат800,Металлопрокат
39,Арматура Ат800 12 2ф,11.7,62 420 >1т,63 040 <1т,ЕВРАЗ Маркет Крдр (800) 511-09-53,,Краснодар,12,Арматура Ат800,Металлопрокат
40,Арматура Ат800 12 2ф,7.6,62 420 >1т,63 040 <1т,ЕВРАЗ Маркет Крдр (800) 511-09-53,,Краснодар,12,Арматура Ат800,Металлопрокат
41,Арматура Ат800 12 2ф,6.7,62 420 >1т,63 040 <1т,ЕВРАЗ Маркет Крдр (800) 511-09-53,,Краснодар,12,Арматура Ат800,Металлопрокат
42,Арматура Ат800 12,11.7,62 500,,ДиПОС Ива (800) 2000-120,,Иваново,12,Арматура Ат800,Металлопрокат
43,Арматура Ат800 12,6.7,62 500,,ДиПОС Ива (800) 2000-120,,Иваново,12,Арматура Ат800,Металлопрокат
44,Арматура Ат800 12,7.6,62 500,,ДиПОС Ива (800) 2000-120,,Иваново,12,Арматура Ат800,Металлопрокат
45,Арматура Ат800 12,11.7,62 500,,ДиПОС Мск (495) 504-25-06,,Москва,12,Арматура Ат800,Металлопрокат
46,Арматура Ат800 12,6.7,62 500,,ДиПОС Мск (495) 504-25-06,,Москва,12,Арматура Ат800,Металлопрокат
47,Арматура Ат800 12,7.6,62 500,,ДиПОС Мск (495) 504-25-06,,Москва,12,Арматура Ат800,Металлопрокат
48,Арматура Ат800 12,7.6,62 800 >15т,63 100 5-15т,Металлоторг Нал (8662) 77-95-00,,Нальчик,12,Арматура Ат800,Металлопрокат
49,Арматура Ат800 12,6.7,62 800 >15т,63 100 5-15т,Металлоторг Нал (8662) 77-95-00,,Нальчик,12,Арматура Ат800,Металлопрокат
50,Арматура Ат800 12,7.6,62 800 >15т,63 100 5-15т,Металлоторг Пят (8793) 36-62-00,,Пятигорск,12,Арматура Ат800,Металлопрокат
51,Арматура Ат800 12,6.7,62 800 >15т,63 100 5-15т,Металлоторг Пят (8793) 36-62-00,,Пятигорск,12,Арматура Ат800,Металлопрокат
52,Арматура Ат800 12,6.7,62 800 >15т,63 100 5-15т,Металлоторг Крдр (861) 214-34-33,,Краснодар,12,Арматура Ат800,Металлопрокат
53,Арматура Ат800 12,7.6,62 800 >15т,63 100 5-15т,Металлоторг Став (8652) 50-11-81,,Ставрополь,12,Арматура Ат800,Металлопрокат
54,Арматура Ат800 12,6.7,62 800 >15т,63 100 5-15т,Металлоторг Став (8652) 50-11-81,,Ставрополь,12,Арматура Ат800,Металлопрокат
55,Арматура Ат800 12 2ф,10.05,63 240 >1т,63 860 <1т,ЕВРАЗ Маркет Лип (800) 511-09-53,,Липецк,12,Арматура Ат800,Металлопрокат
56,Арматура Ат800 12,,63 500,65 500 1-5т,Металл Индустрия Крдр (861) 279-17-00,,Краснодар,12,Арматура Ат800,Металлопрокат
57,Арматура Ат800 12,6.7,63 700,,РегионСталь Мск (495) 134-05-10,,Москва,12,Арматура Ат800,Металлопрокат
58,Арматура Ат800 12,7.6,63 700,,РегионСталь Мск (495) 134-05-10,,Москва,12,Арматура Ат800,Металлопрокат
59,Арматура Ат800 12,7.6,64 500,,Брок-Инвест-Сервис и К НН (831) 429-06-25,,Нижний Новгород,12,Арматура Ат800,Металлопрокат
60,Арматура Ат800 12 2ф,6.7,64 520 >1т,65 150 <1т,ЕВРАЗ Маркет Орен (800) 511-09-53,,Оренбург,12,Арматура Ат800,Металлопрокат
61,Арматура Ат800 12,6.7,64 600,,Брок-Инвест-Сервис и К Яро (4852) 67-40-46,,Ярославль,12,Арматура Ат800,Металлопрокат
62,Арматура Ат800 12,6.7,64 630 >1т,65 260 <1т,ЕВРАЗ Маркет Орен (800) 511-09-53,,Оренбург,12,Арматура Ат800,Металлопрокат
63,Арматура Ат800 12 2ф,7.6,65 690 >1т,66 330 <1т,ЕВРАЗ Маркет РнД (800) 511-09-53,,Ростов-на-Дону,12,Арматура Ат800,Металлопрокат
64,Арматура Ат800 12,,66 000,,А ГРУПП Смо (4812) 29-40-50,,Смоленск,12,Арматура Ат800,Металлопрокат
65,Арматура Ат800 12 2ф,6.7,66 650 >3т,66 650 <3т,ЕВРАЗ Маркет Вмр (800) 511-09-53,,Владимир,12,Арматура Ат800,Металлопрокат
66,Арматура Ат800 12 2ф,7.6,66 650 >3т,66 650 <3т,ЕВРАЗ Маркет Вмр (800) 511-09-53,,Владимир,12,Арматура Ат800,Металлопрокат
67,Арматура Ат800 12,11.7,67 000,,Брок-Инвест-Сервис и К НН (831) 429-06-25,,Нижний Новгород,12,Арматура Ат800,Металлопрокат
68,Арматура Ат800 12,6.7,67 000,,УВМ-СТАЛЬ Врнж (473) 205-98-95,,Воронеж,12,Арматура Ат800,Металлопрокат
69,Арматура Ат800 12,,67 620,,Металлинвест Нск (383) 230-95-83,,Новосибирск,12,Арматура Ат800,Металлопрокат
70,Арматура Ат800 12,,68 270,,Металлинвест Крснк (391) 275-95-32,,Красноярск,12,Арматура Ат800,Металлопрокат
71,Арматура Ат800 12 2ф,6.4,68 620 >1т,69 300 <1т,ЕВРАЗ Маркет Екб (800) 511-09-53,,Екатеринбург,12,Арматура Ат800,Металлопрокат
72,Арматура Ат800 12,,68 950,,А ГРУПП Ввк (4232) 00-39-07,,Владивосток,12,Арматура Ат800,Металлопрокат
73,Арматура Ат800 12,6.7,70 000,,СИБМЕТСНАБ Нск (383) 249-37-70,,Новосибирск,12,Арматура Ат800,Металлопрокат
74,Арматура Ат800 12,7.6,70 000,,СИБМЕТСНАБ Нск (383) 249-37-70,,Новосибирск,12,Арматура Ат800,Металлопрокат
75,Арматура Ат800 12,6.75,70 200 4-6т,70 600 2-4т,МеталлКомплектСнаб Нск (383) 325-31-31,,Новосибирск,12,Арматура Ат800,Металлопрокат
76,Арматура Ат800 12,7.65,70 200 4-6т,70 600 2-4т,МеталлКомплектСнаб Нск (383) 325-31-31,,Новосибирск,12,Арматура Ат800,Металлопрокат
77,Арматура Ат800 12,11.75,70 200 4-6т,70 600 2-4т,МеталлКомплектСнаб Нск (383) 325-31-31,,Новосибирск,12,Арматура Ат800,Металлопрокат
78,Арматура Ат800 12,11.7,70 600,,УВМ-СТАЛЬ Уфа (347) 201-77-07,,Уфа,12,Арматура Ат800,Металлопрокат
79,Арматура Ат800 12,6.7,70 600,,УВМ-СТАЛЬ Сам (846) 233-65-63,,Самара,12,Арматура Ат800,Металлопрокат
80,Арматура Ат800 12 2ф,11.7,70 630 >3т,70 630 <3т,ЕВРАЗ Маркет Мах (800) 511-09-53,,Магнитогорск,12,Арматура Ат800,Металлопрокат
81,Арматура Ат800 12,11.7,71 100,,УВМ-СТАЛЬ Мск (495) 137-74-76 доб.,,Москва,12,Арматура Ат800,Металлопрокат
82,Арматура Ат800 12,6.7,71 100,,УВМ-СТАЛЬ Мск (495) 137-74-76 доб.,,Москва,12,Арматура Ат800,Металлопрокат
83,Арматура Ат800 12 2ф,6.7,71 330 >3т,71 330 <3т,ЕВРАЗ Маркет Нск (800) 511-09-53,,Новосибирск,12,Арматура Ат800,Металлопрокат
84,Арматура Ат800 12,6.7,71 700,,УВМ-СТАЛЬ Екб (343) 288-30-30,,Екатеринбург,12,Арматура Ат800,Металлопрокат
85,Арматура Ат800 12,6.7,71 700,,УВМ-СТАЛЬ Чел (351) 220-88-08,,Челябинск,12,Арматура Ат800,Металлопрокат
86,Арматура Ат800 12,6.7,71 700,,УВМ-СТАЛЬ Пер (342) 256-35-33,,Пермь,12,Арматура Ат800,Металлопрокат
87,Арматура Ат800 12,6.7,73 400,,УВМ-СТАЛЬ Уфа (347) 201-77-07,,Уфа,12,Арматура Ат800,Металлопрокат
88,Арматура Ат800 12,6.7 7.6,75 000,,БЛОК Сев (8692) 41-22-18,,Севастополь,12,Арматура Ат800,Металлопрокат
89,Арматура Ат800 12,11.7,75 600,,УВМ-СТАЛЬ Пер (342) 256-35-33,,Пермь,12,Арматура Ат800,Металлопрокат
90,Арматура Ат800 12,11.7,звоните,,УВМ-СТАЛЬ Сур (345) 265-20-20,,Сургут,12,Арматура Ат800,Металлопрокат
91,Арматура Ат800 12,6.7,звоните,,УВМ-СТАЛЬ Сур (345) 265-20-20,,Сургут,12,Арматура Ат800,Металлопрокат
92,Арматура Ат800 12,,звоните,,Металлинвест Тюм (345) 253-81-11,,Тюмень,12,Арматура Ат800,Металлопрокат
93,Арматура Ат800 12,11.7,звоните,,Торговый дом ММК Мск (495) 604-16-40,,Москва,12,Арматура Ат800,Металлопрокат
94,Арматура Ат800 12,11.7,звоните,,Металлсервис Бел (4722) 42-42-58,,Белгород,12,Арматура Ат800,Металлопрокат
95,Арматура Ат800 12,6.7,звоните,,Металлсервис Бел (4722) 42-42-58,,Белгород,12,Арматура Ат800,Металлопрокат
96,Арматура Ат800 12,11.7,звоните,,Металлсервис Чеб (8352) 20-22-75,,Чебоксары,12,Арматура Ат800,Металлопрокат
97,Арматура Ат800 12,6.7,звоните,,Металлсервис Чеб (8352) 20-22-75,,Чебоксары,12,Арматура Ат800,Металлопрокат
98,Арматура Ат800 12,,звоните,,Металлинвест Пер (342) 259-04-06,,Пермь,12,Арматура Ат800,Металлопрокат
99,Арматура Ат800 12,11.7,звоните,,Металлсервис НН (831) 257-79-33,,Нижний Новгород,12,Арматура Ат800,Металлопрокат
100,Арматура Ат800 12,6.7,звоните,,Металлсервис НН (831) 257-79-33,,Нижний Новгород,12,Арматура Ат800,Металлопрокат
101,Арматура Ат800 12,6.7,звоните,,ДиПОС СПб (812) 320-47-85,,Санкт-Петербург,12,Арматура Ат800,Металлопрокат
102,Арматура Ат800 12,6.7,звоните,,Металлсервис Екб (343) 385-58-90,,Екатеринбург,12,Арматура Ат800,Металлопрокат
103,Арматура Ат800 12,7.6,звоните,,Металлсервис Екб (343) 385-58-90,,Екатеринбург,12,Арматура Ат800,Металлопрокат
104,Арматура Ат800 12,6.4,звоните,,Металлсервис Екб (343) 385-58-90,,Екатеринбург,12,Арматура Ат800,Металлопрокат
105,Арматура Ат800 12,11.7,звоните,,Металлсервис Екб (343) 385-58-90,,Екатеринбург,12,Арматура Ат800,Металлопрокат
106,Арматура Ат800 12,,звоните,,Металлинвест Орен (353) 254-14-87,,Оренбург,12,Арматура Ат800,Металлопрокат
107,Арматура Ат800 12,6.7,звоните,,УВМ-СТАЛЬ Каз (843) 233-45-33,,Казань,12,Арматура Ат800,Металлопрокат
108,Арматура Ат800 12,11.7,звоните,,Металлсервис РнД (863) 287-07-07,,Ростов-на-Дону,12,Арматура Ат800,Металлопрокат
109,Арматура Ат800 12,6.7,звоните,,Металлсервис РнД (863) 287-07-07,,Ростов-на-Дону,12,Арматура Ат800,Металлопрокат
110,Арматура Ат800 12,11.7,звоните,,УВМ-СТАЛЬ Екб (343) 288-30-30,,Екатеринбург,12,Арматура Ат800,Металлопрокат
111,Арматура Ат800 12,,звоните,,Металлинвест Каз (843) 216-94-42,,Казань,12,Арматура Ат800,Металлопрокат
112,Арматура Ат800 12 (от 20т),6-14 м/д,звоните,,Абинский ЭлектроМеталлургический Завод Мск (499) 643-83-04,,Москва,12,Арматура Ат800,Металлопрокат
113,Арматура Ат800 12,11.7,звоните,,УВМ-СТАЛЬ Сам (846) 233-65-63,,Самара,12,Арматура Ат800,Металлопрокат
114,Арматура Ат800 12,,звоните,,Металлинвест Сур (346) 227-17-09,,Сургут,12,Арматура Ат800,Металлопрокат
115,Арматура Ат800 12,6.7,звоните,,Металлсервис Чел (351) 220-75-47,,Челябинск,12,Арматура Ат800,Металлопрокат
116,Арматура Ат800 12,7.6,звоните,,Металлсервис Чел (351) 220-75-47,,Челябинск,12,Арматура Ат800,Металлопрокат
117,Арматура Ат800 12,11.7,звоните,,Металлсервис Чел (351) 220-75-47,,Челябинск,12,Арматура Ат800,Металлопрокат
118,Арматура Ат800 12,6.7,звоните,,Металлсервис Сам (846) 300-43-36,,Самара,12,Арматура Ат800,Металлопрокат
119,Арматура Ат800 12,11.7,звоните,,Металлсервис Сам (846) 300-43-36,,Самара,12,Арматура Ат800,Металлопрокат
120,Арматура Ат800 12,11.7,звоните,,Металлсервис Сртв (8453) 44-79-00,,Саратов,12,Арматура Ат800,Металлопрокат
121,Арматура Ат800 12,6.7,звоните,,Металлсервис Сртв (8453) 44-79-00,,Саратов,12,Арматура Ат800,Металлопрокат
122,Арматура Ат800 12,6.7,звоните,,УВМ-СТАЛЬ Тула (4872) 37-94-95,,Тула,12,Арматура Ат800,Металлопрокат
123,Арматура Ат800 12,11.7,звоните,,УВМ-СТАЛЬ Чел (351) 220-88-08,,Челябинск,12,Арматура Ат800,Металлопрокат
124,Арматура Ат800 12,11.7,звоните,,Металлсервис Мск (495) 925-11-55,,Москва,12,Арматура Ат800,Металлопрокат
125,Арматура Ат800 12,6.7,звоните,,Металлсервис Мск (495) 925-11-55,,Москва,12,Арматура Ат800,Металлопрокат
126,Арматура Ат800 12,11.7,звоните,,Металлсервис Пен (8412) 36-96-59,,Пенза,12,Арматура Ат800,Металлопрокат
127,Арматура Ат800 12,6.7,звоните,,Металлсервис Пен (8412) 36-96-59,,Пенза,12,Арматура Ат800,Металлопрокат
128,Арматура Ат800 12,11.7,звоните,,Металлсервис Кур (4712) 77-00-05,,Курск,12,Арматура Ат800,Металлопрокат
129,Арматура Ат800 12,6.7,звоните,,Металлсервис Кур (4712) 77-00-05,,Курск,12,Арматура Ат800,Металлопрокат
130,Арматура Ат800 12,,звоните,,Металлинвест Уфа (347) 226-18-25,,Уфа,12,Арматура Ат800,Металлопрокат
131,Арматура Ат800 12,,звоните,,Металлинвест НТ (343) 537-04-78,,Нижний Тагил,12,Арматура Ат800,Металлопрокат
132,Арматура Ат800 12,,звоните,,Металлинвест Крдр (861) 298-29-15,,Краснодар,12,Арматура Ат800,Металлопрокат
133,Арматура Ат800 12,,звоните,,Металлинвест Мск (499) 681-92-14,,Москва,12,Арматура Ат800,Металлопрокат
134,Арматура Ат800 12,11.7,звоните,,Металлсервис СПб (812) 333-20-00,,Санкт-Петербург,12,Арматура Ат800,Металлопрокат
135,Арматура Ат800 12,,звоните,,Металлинвест Екб (343) 537-04-78,,Екатеринбург,12,Арматура Ат800,Металлопрокат
136,Арматура Ат800 12,11.7,звоните,,Металлсервис Таг (863) 437-53-55,,Таганрог,12,Арматура Ат800,Металлопрокат
137,Арматура Ат800 12,6.7,звоните,,Металлсервис Таг (863) 437-53-55,,Таганрог,12,Арматура Ат800,Металлопрокат
138,Арматура Ат800 12,11.7,звоните,,СтройПартнер РнД (863) 322-40-11,,Ростов-на-Дону,12,Арматура Ат800,Металлопрокат
139,Арматура Ат800 12,6.7,звоните,,СтройПартнер РнД (863) 322-40-11,,Ростов-на-Дону,12,Арматура Ат800,Металлопрокат
140,Арматура Ат800 12,,звоните,,Абинский ЭлектроМеталлургический Завод Крдр (861) 504-18-72,,Краснодар,12,Арматура Ат800,Металлопрокат
141,Арматура Ат800 12,6.7,звоните,,Металлсервис Крдр (861) 265-88-77,,Краснодар,12,Арматура Ат800,Металлопрокат
142,Арматура Ат800 12,,звоните,,Металлинвест Сам (846) 300-25-31,,Самара,12,Арматура Ат800,Металлопрокат
143,Арматура Ат800 12,6.7,звоните,,Металлокомплект-М Мск (495) 739-98-92,,Москва,12,Арматура Ат800,Металлопрокат
144,Арматура Ат800 12,7.6,звоните,,Металлокомплект-М Мск (495) 739-98-92,,Москва,12,Арматура Ат800,Металлопрокат
145,Арматура Ат800 12,11.7,звоните,,Металлокомплект-М Мск (495) 739-98-92,,Москва,12,Арматура Ат800,Металлопрокат
