,Наименование,Длина,"Цена за 1т, руб. с НДС","Цена за 1т, руб. с НДС.1",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
146,Арматура Ат800 12,,звоните,,Металлинвест Чел (351) 220-95-42,,Челябинск,12,Арматура Ат800,Металлопрокат
147,Арматура Ат800 12,6.7,звоните,,СИТИМЕТ СПб (812) 325-33-10,,Санкт-Петербург,12,Арматура Ат800,Металлопрокат
148,Арматура Ат800 12,11.7,звоните,,Металлсервис Бря (4832) 78-31-04,,Брянск,12,Арматура Ат800,Металлопрокат
149,Арматура Ат800 12,6.7,звоните,,Металлсервис Бря (4832) 78-31-04,,Брянск,12,Арматура Ат800,Металлопрокат
150,Арматура Ат800 12,11.7,звоните,,Металлсервис Пер (342) 249-09-09,,Пермь,12,Арматура Ат800,Металлопрокат
0,Арматура Ат800 14,11.7,54 500 >15т,54 500 5-15т,Металлоторг Каз (843) 239-53-83,,Казань,14,Арматура Ат800,Металлопрокат
1,Арматура Ат800 14 налет,6.7,55 000,,СИБМЕТСНАБ Нск (383) 249-37-70,,Новосибирск,14,Арматура Ат800,Металлопрокат
2,Арматура Ат800 14,6.7,55 500 >15т,55 500 5-15т,Металлоторг Уфа (347) 287-52-73,,Уфа,14,Арматура Ат800,Металлопрокат
3,Арматура Ат800 14,7.6,55 500 >15т,55 500 5-15т,Металлоторг Уфа (347) 287-52-73,,Уфа,14,Арматура Ат800,Металлопрокат
4,Арматура Ат800 14,9.6,57 500 >15т,57 500 5-15т,Металлоторг Мск (495) 727-39-74,,Москва,14,Арматура Ат800,Металлопрокат
5,Арматура Ат800 14,11.7,59 500 >15т,59 500 5-15т,Металлоторг Сам (846) 374-14-14,,Самара,14,Арматура Ат800,Металлопрокат
6,Арматура Ат800 14,6.7,61 500 >1т,61 900 0.5-1т,Сталепромышленная компания Яро (4852) 60-85-53,,Ярославль,14,Арматура Ат800,Металлопрокат
7,Арматура Ат800 14,7.6,61 500 >1т,61 900 0.5-1т,Сталепромышленная компания Яро (4852) 60-85-53,,Ярославль,14,Арматура Ат800,Металлопрокат
8,Арматура Ат800 14,6.7,61 500 >1т,61 900 0.5-1т,Сталепромышленная компания Мск (4912) 77-58-47,,Москва,14,Арматура Ат800,Металлопрокат
9,Арматура Ат800 14,7.6,61 500 >1т,61 900 0.5-1т,Сталепромышленная компания Мск (4912) 77-58-47,,Москва,14,Арматура Ат800,Металлопрокат
10,Арматура Ат800 14,6.7,61 500 >1т,61 900 0.5-1т,Сталепромышленная компания Ряз (4912) 77-58-47,,Рязань,14,Арматура Ат800,Металлопрокат
11,Арматура Ат800 14,7.6,61 500 >1т,61 900 0.5-1т,Сталепромышленная компания Ряз (4912) 77-58-47,,Рязань,14,Арматура Ат800,Металлопрокат
12,Арматура Ат800 14,6.7,61 500 >1т,61 900 0.5-1т,Сталепромышленная компания Тула (4872) 63-68-47,,Тула,14,Арматура Ат800,Металлопрокат
13,Арматура Ат800 14,7.6,61 500 >1т,61 900 0.5-1т,Сталепромышленная компания Тула (4872) 63-68-47,,Тула,14,Арматура Ат800,Металлопрокат
14,Арматура Ат800 14,6.7,61 800 >15т,62 100 5-15т,Металлоторг РнД (863) 303-13-10,,Ростов-на-Дону,14,Арматура Ат800,Металлопрокат
15,Арматура Ат800 14,11.7,61 800 >15т,62 100 5-15т,Металлоторг РнД (863) 303-13-10,,Ростов-на-Дону,14,Арматура Ат800,Металлопрокат
16,Арматура Ат800 14,7.6,61 800 >15т,62 100 5-15т,Металлоторг Вмр (4922) 52-22-44,,Владимир,14,Арматура Ат800,Металлопрокат
17,Арматура Ат800 14,6.7,61 800 >15т,62 100 5-15т,Металлоторг Вмр (4922) 52-22-44,,Владимир,14,Арматура Ат800,Металлопрокат
18,Арматура Ат800 14,7.6,61 800 >15т,62 100 5-15т,Металлоторг Яро (4852) 67-47-05,,Ярославль,14,Арматура Ат800,Металлопрокат
19,Арматура Ат800 14,11.7,61 800 >15т,62 100 5-15т,Металлоторг Уль (8422) 34-99-00,,Ульяновск,14,Арматура Ат800,Металлопрокат
20,Арматура Ат800 14,7.6,61 800 >15т,62 100 5-15т,Металлоторг Лип (4742) 75-89-66,,Липецк,14,Арматура Ат800,Металлопрокат
21,Арматура Ат800 14,6.7,61 800 >15т,62 100 5-15т,Металлоторг Сртв (8452) 44-65-95,,Саратов,14,Арматура Ат800,Металлопрокат
22,Арматура Ат800 14,6.7,61 800 >15т,62 100 5-15т,Металлоторг Мск (495) 727-39-74,,Москва,14,Арматура Ат800,Металлопрокат
23,Арматура Ат800 14,11.7,61 800 >15т,62 100 5-15т,Металлоторг Мск (495) 727-39-74,,Москва,14,Арматура Ат800,Металлопрокат
24,Арматура Ат800 14,7.6,61 800 >15т,62 100 5-15т,Металлоторг Мск (495) 727-39-74,,Москва,14,Арматура Ат800,Металлопрокат
25,Арматура Ат800 14,7.6,61 800 >15т,62 100 5-15т,Металлоторг Каз (843) 239-53-83,,Казань,14,Арматура Ат800,Металлопрокат
26,Арматура Ат800 14 2ф,6.7,62 420 >1т,63 040 <1т,ЕВРАЗ Маркет Крдр (800) 511-09-53,,Краснодар,14,Арматура Ат800,Металлопрокат
27,Арматура Ат800 14 2ф,6.7,62 420 >1т,63 040 <1т,ЕВРАЗ Маркет Крдр (800) 511-09-53,,Краснодар,14,Арматура Ат800,Металлопрокат
28,Арматура Ат800 14 2ф,7.6,62 420 >1т,63 040 <1т,ЕВРАЗ Маркет Крдр (800) 511-09-53,,Краснодар,14,Арматура Ат800,Металлопрокат
29,Арматура Ат800 14,6.7,62 500,,ДиПОС Ива (800) 2000-120,,Иваново,14,Арматура Ат800,Металлопрокат
30,Арматура Ат800 14,7.6,62 500,,ДиПОС Ива (800) 2000-120,,Иваново,14,Арматура Ат800,Металлопрокат
31,Арматура Ат800 14,6.7,62 500,,ДиПОС Мск (495) 504-25-06,,Москва,14,Арматура Ат800,Металлопрокат
32,Арматура Ат800 14,7.6,62 500,,ДиПОС Мск (495) 504-25-06,,Москва,14,Арматура Ат800,Металлопрокат
33,Арматура Ат800 14,6.7,62 800 >15т,63 100 5-15т,Металлоторг Нал (8662) 77-95-00,,Нальчик,14,Арматура Ат800,Металлопрокат
34,Арматура Ат800 14,7.6,62 800 >15т,63 100 5-15т,Металлоторг Нал (8662) 77-95-00,,Нальчик,14,Арматура Ат800,Металлопрокат
35,Арматура Ат800 14,6.7,62 800 >15т,63 100 5-15т,Металлоторг Пят (8793) 36-62-00,,Пятигорск,14,Арматура Ат800,Металлопрокат
36,Арматура Ат800 14,7.6,62 800 >15т,63 100 5-15т,Металлоторг Пят (8793) 36-62-00,,Пятигорск,14,Арматура Ат800,Металлопрокат
37,Арматура Ат800 14,6.7,62 800 >15т,63 100 5-15т,Металлоторг Крдр (861) 214-34-33,,Краснодар,14,Арматура Ат800,Металлопрокат
38,Арматура Ат800 14,11.7,62 800 >15т,63 100 5-15т,Металлоторг Крдр (861) 214-34-33,,Краснодар,14,Арматура Ат800,Металлопрокат
39,Арматура Ат800 14,7.6,62 800 >15т,63 100 5-15т,Металлоторг Крдр (861) 214-34-33,,Краснодар,14,Арматура Ат800,Металлопрокат
40,Арматура Ат800 14,7.6,62 800 >15т,63 100 5-15т,Металлоторг Став (8652) 50-11-81,,Ставрополь,14,Арматура Ат800,Металлопрокат
41,Арматура Ат800 14,,63 500,65 500 1-5т,Металл Индустрия Крдр (861) 279-17-00,,Краснодар,14,Арматура Ат800,Металлопрокат
42,Арматура Ат800 14,6.7,63 700,,РегионСталь Мск (495) 134-05-10,,Москва,14,Арматура Ат800,Металлопрокат
43,Арматура Ат800 14,7.6,63 700,,РегионСталь Мск (495) 134-05-10,,Москва,14,Арматура Ат800,Металлопрокат
44,Арматура Ат800 14,11.7,64 400,,Брок-Инвест-Сервис и К Яро (4852) 67-40-46,,Ярославль,14,Арматура Ат800,Металлопрокат
45,Арматура Ат800 14,6.7,65 500,,УВМ-СТАЛЬ Тве (4822) 20-14-13,,Тверь,14,Арматура Ат800,Металлопрокат
46,Арматура Ат800 14,6.7,65 500,,УВМ-СТАЛЬ Яро (4852) 67-37-60,,Ярославль,14,Арматура Ат800,Металлопрокат
47,Арматура Ат800 14,,65 730,,Металлинвест Нск (383) 230-95-83,,Новосибирск,14,Арматура Ат800,Металлопрокат
48,Арматура Ат800 14,,66 000,,А ГРУПП Смо (4812) 29-40-50,,Смоленск,14,Арматура Ат800,Металлопрокат
49,Арматура Ат800 14,,66 390,,Металлинвест Крснк (391) 275-95-32,,Красноярск,14,Арматура Ат800,Металлопрокат
50,Арматура Ат800 14,6.7,66 500,,УВМ-СТАЛЬ Врнж (473) 205-98-95,,Воронеж,14,Арматура Ат800,Металлопрокат
51,Арматура Ат800 14 2ф,10.2,68 340 >1т,69 010 <1т,ЕВРАЗ Маркет Нкз (800) 511-09-53,,Новокузнецк,14,Арматура Ат800,Металлопрокат
52,Арматура Ат800 14 2ф,7.3,68 340 >1т,69 010 <1т,ЕВРАЗ Маркет Нкз (800) 511-09-53,,Новокузнецк,14,Арматура Ат800,Металлопрокат
53,Арматура Ат800 14,,68 500,,А ГРУПП Ввк (4232) 00-39-07,,Владивосток,14,Арматура Ат800,Металлопрокат
54,Арматура Ат800 14 2ф,11.7,69 010 >3т,69 010 <3т,ЕВРАЗ Маркет Бар (800) 511-09-53,,Барнаул,14,Арматура Ат800,Металлопрокат
55,Арматура Ат800 14,6.75,69 600 4-6т,70 000 2-4т,МеталлКомплектСнаб Нск (383) 325-31-31,,Новосибирск,14,Арматура Ат800,Металлопрокат
56,Арматура Ат800 14,7.65,69 600 4-6т,70 000 2-4т,МеталлКомплектСнаб Нск (383) 325-31-31,,Новосибирск,14,Арматура Ат800,Металлопрокат
57,Арматура Ат800 14,11.75,69 600 4-6т,70 000 2-4т,МеталлКомплектСнаб Нск (383) 325-31-31,,Новосибирск,14,Арматура Ат800,Металлопрокат
58,Арматура Ат800 14 2ф,7.6,69 630 >3т,69 630 <3т,ЕВРАЗ Маркет Нск (800) 511-09-53,,Новосибирск,14,Арматура Ат800,Металлопрокат
59,Арматура Ат800 14 нарез.5781-82,7.6,69 630 >3т,69 630 <3т,ЕВРАЗ Маркет Нск (800) 511-09-53,,Новосибирск,14,Арматура Ат800,Металлопрокат
60,Арматура Ат800 14,6.7,70 400,,СИБМЕТСНАБ Крснк (391) 204-01-35,,Красноярск,14,Арматура Ат800,Металлопрокат
61,Арматура Ат800 14,7.6,70 400,,СИБМЕТСНАБ Крснк (391) 204-01-35,,Красноярск,14,Арматура Ат800,Металлопрокат
62,Арматура Ат800 14,6.7,70 600,,УВМ-СТАЛЬ Мск (495) 137-74-76 доб.,,Москва,14,Арматура Ат800,Металлопрокат
63,Арматура Ат800 14,6.7,71 100,,УВМ-СТАЛЬ Екб (343) 288-30-30,,Екатеринбург,14,Арматура Ат800,Металлопрокат
64,Арматура Ат800 14,6.7,71 100,,УВМ-СТАЛЬ Чел (351) 220-88-08,,Челябинск,14,Арматура Ат800,Металлопрокат
65,Арматура Ат800 14,6.7 7.6,75 000,,БЛОК Сев (8692) 41-22-18,,Севастополь,14,Арматура Ат800,Металлопрокат
66,Арматура Ат800 14,6.7,75 200,,УВМ-СТАЛЬ Пер (342) 256-35-33,,Пермь,14,Арматура Ат800,Металлопрокат
67,Арматура Ат800 14,,84 000,,А ГРУПП ЮС (4242) 30-35-72,,Южно-Сахалинск,14,Арматура Ат800,Металлопрокат
68,Арматура Ат800 14,6.7,звоните,,УВМ-СТАЛЬ Сур (345) 265-20-20,,Сургут,14,Арматура Ат800,Металлопрокат
69,Арматура Ат800 14,,звоните,,Металлинвест Тюм (345) 253-81-11,,Тюмень,14,Арматура Ат800,Металлопрокат
70,Арматура Ат800 14,11.7,звоните,,Торговый дом ММК Мск (495) 604-16-40,,Москва,14,Арматура Ат800,Металлопрокат
71,Арматура Ат800 14,11.7,звоните,,Металлсервис Бел (4722) 42-42-58,,Белгород,14,Арматура Ат800,Металлопрокат
72,Арматура Ат800 14,6.7,звоните,,Металлсервис Бел (4722) 42-42-58,,Белгород,14,Арматура Ат800,Металлопрокат
73,Арматура Ат800 14,7.6,звоните,,Металлсервис Бел (4722) 42-42-58,,Белгород,14,Арматура Ат800,Металлопрокат
74,Арматура Ат800 14,11.7,звоните,,Металлсервис Чеб (8352) 20-22-75,,Чебоксары,14,Арматура Ат800,Металлопрокат
75,Арматура Ат800 14,6.7,звоните,,Металлсервис Чеб (8352) 20-22-75,,Чебоксары,14,Арматура Ат800,Металлопрокат
76,Арматура Ат800 14,7.6,звоните,,Металлсервис Чеб (8352) 20-22-75,,Чебоксары,14,Арматура Ат800,Металлопрокат
77,Арматура Ат800 14,,звоните,,Металлинвест Пер (342) 259-04-06,,Пермь,14,Арматура Ат800,Металлопрокат
78,Арматура Ат800 14,11.7,звоните,,Металлсервис НН (831) 257-79-33,,Нижний Новгород,14,Арматура Ат800,Металлопрокат
79,Арматура Ат800 14,6.7,звоните,,Металлсервис НН (831) 257-79-33,,Нижний Новгород,14,Арматура Ат800,Металлопрокат
80,Арматура Ат800 14,7.6,звоните,,Металлсервис НН (831) 257-79-33,,Нижний Новгород,14,Арматура Ат800,Металлопрокат
81,Арматура Ат800 14,11.7,звоните,,Металлсервис Екб (343) 385-58-90,,Екатеринбург,14,Арматура Ат800,Металлопрокат
82,Арматура Ат800 14,6.7,звоните,,Металлсервис Екб (343) 385-58-90,,Екатеринбург,14,Арматура Ат800,Металлопрокат
83,Арматура Ат800 14,,звоните,,Металлинвест Орен (353) 254-14-87,,Оренбург,14,Арматура Ат800,Металлопрокат
84,Арматура Ат800 14,6.7,звоните,,УВМ-СТАЛЬ Каз (843) 233-45-33,,Казань,14,Арматура Ат800,Металлопрокат
85,Арматура Ат800 14,11.7,звоните,,Металлсервис РнД (863) 287-07-07,,Ростов-на-Дону,14,Арматура Ат800,Металлопрокат
86,Арматура Ат800 14,6.7,звоните,,Металлсервис РнД (863) 287-07-07,,Ростов-на-Дону,14,Арматура Ат800,Металлопрокат
87,Арматура Ат800 14,7.6,звоните,,Металлсервис РнД (863) 287-07-07,,Ростов-на-Дону,14,Арматура Ат800,Металлопрокат
88,Арматура Ат800 14,,звоните,,Металлинвест Каз (843) 216-94-42,,Казань,14,Арматура Ат800,Металлопрокат
89,Арматура Ат800 14 (от 20т),6-14 м/д,звоните,,Абинский ЭлектроМеталлургический Завод Мск (499) 643-83-04,,Москва,14,Арматура Ат800,Металлопрокат
90,Арматура Ат800 14,6.7,звоните,,УВМ-СТАЛЬ Сам (846) 233-65-63,,Самара,14,Арматура Ат800,Металлопрокат
91,Арматура Ат800 14,,звоните,,Металлинвест Сур (346) 227-17-09,,Сургут,14,Арматура Ат800,Металлопрокат
92,Арматура Ат800 14,7.6,звоните,,Металлсервис Чел (351) 220-75-47,,Челябинск,14,Арматура Ат800,Металлопрокат
93,Арматура Ат800 14,11.7,звоните,,Металлсервис Чел (351) 220-75-47,,Челябинск,14,Арматура Ат800,Металлопрокат
94,Арматура Ат800 14,6.7,звоните,,Металлсервис Чел (351) 220-75-47,,Челябинск,14,Арматура Ат800,Металлопрокат
95,Арматура Ат800 14,7.6,звоните,,Металлсервис Чел (351) 220-75-47,,Челябинск,14,Арматура Ат800,Металлопрокат
96,Арматура Ат800 14,11.7,звоните,,Металлсервис Сам (846) 300-43-36,,Самара,14,Арматура Ат800,Металлопрокат
97,Арматура Ат800 14,7.6,звоните,,Металлсервис Сам (846) 300-43-36,,Самара,14,Арматура Ат800,Металлопрокат
98,Арматура Ат800 14,6.7,звоните,,Металлсервис Сам (846) 300-43-36,,Самара,14,Арматура Ат800,Металлопрокат
99,Арматура Ат800 14,11.7,звоните,,Металлсервис Сртв (8453) 44-79-00,,Саратов,14,Арматура Ат800,Металлопрокат
100,Арматура Ат800 14,6.7,звоните,,Металлсервис Сртв (8453) 44-79-00,,Саратов,14,Арматура Ат800,Металлопрокат
101,Арматура Ат800 14,7.6,звоните,,Металлсервис Сртв (8453) 44-79-00,,Саратов,14,Арматура Ат800,Металлопрокат
102,Арматура Ат800 14,6.7,звоните,,УВМ-СТАЛЬ Тула (4872) 37-94-95,,Тула,14,Арматура Ат800,Металлопрокат
103,Арматура Ат800 14,11.7,звоните,,Металлсервис Мск (495) 925-11-55,,Москва,14,Арматура Ат800,Металлопрокат
104,Арматура Ат800 14,7.6,звоните,,Металлсервис Мск (495) 925-11-55,,Москва,14,Арматура Ат800,Металлопрокат
105,Арматура Ат800 14,6.7,звоните,,Металлсервис Мск (495) 925-11-55,,Москва,14,Арматура Ат800,Металлопрокат
106,Арматура Ат800 14,11.7,звоните,,Металлсервис Пен (8412) 36-96-59,,Пенза,14,Арматура Ат800,Металлопрокат
107,Арматура Ат800 14,6.7,звоните,,Металлсервис Пен (8412) 36-96-59,,Пенза,14,Арматура Ат800,Металлопрокат
108,Арматура Ат800 14,7.6,звоните,,Металлсервис Пен (8412) 36-96-59,,Пенза,14,Арматура Ат800,Металлопрокат
109,Арматура Ат800 14,11.7,звоните,,Металлсервис Кур (4712) 77-00-05,,Курск,14,Арматура Ат800,Металлопрокат
110,Арматура Ат800 14,6.7,звоните,,Металлсервис Кур (4712) 77-00-05,,Курск,14,Арматура Ат800,Металлопрокат
111,Арматура Ат800 14,7.6,звоните,,Металлсервис Кур (4712) 77-00-05,,Курск,14,Арматура Ат800,Металлопрокат
112,Арматура Ат800 14,,звоните,,Металлинвест Уфа (347) 226-18-25,,Уфа,14,Арматура Ат800,Металлопрокат
113,Арматура Ат800 14,,звоните,,Металлинвест НТ (343) 537-04-78,,Нижний Тагил,14,Арматура Ат800,Металлопрокат
114,Арматура Ат800 14,,звоните,,Металлинвест Крдр (861) 298-29-15,,Краснодар,14,Арматура Ат800,Металлопрокат
115,Арматура Ат800 14,,звоните,,Металлинвест Мск (499) 681-92-14,,Москва,14,Арматура Ат800,Металлопрокат
116,Арматура Ат800 14,,звоните,,Металлинвест Екб (343) 537-04-78,,Екатеринбург,14,Арматура Ат800,Металлопрокат
117,Арматура Ат800 14,11.7,звоните,,Металлсервис Таг (863) 437-53-55,,Таганрог,14,Арматура Ат800,Металлопрокат
118,Арматура Ат800 14,6.7,звоните,,Металлсервис Таг (863) 437-53-55,,Таганрог,14,Арматура Ат800,Металлопрокат
119,Арматура Ат800 14,7.6,звоните,,Металлсервис Таг (863) 437-53-55,,Таганрог,14,Арматура Ат800,Металлопрокат
120,Арматура Ат800 14,6.7,звоните,,СтройПартнер РнД (863) 322-40-11,,Ростов-на-Дону,14,Арматура Ат800,Металлопрокат
121,Арматура Ат800 14,,звоните,,Абинский ЭлектроМеталлургический Завод Крдр (861) 504-18-72,,Краснодар,14,Арматура Ат800,Металлопрокат
122,Арматура Ат800 14,6.7,звоните,,Металлсервис Крдр (861) 265-88-77,,Краснодар,14,Арматура Ат800,Металлопрокат
123,Арматура Ат800 14,11.7,звоните,,Металлсервис Крдр (861) 265-88-77,,Краснодар,14,Арматура Ат800,Металлопрокат
124,Арматура Ат800 14,,звоните,,Металлинвест Сам (846) 300-25-31,,Самара,14,Арматура Ат800,Металлопрокат
125,Арматура Ат800 14,6.7,звоните,,Металлокомплект-М Мск (495) 739-98-92,,Москва,14,Арматура Ат800,Металлопрокат
126,Арматура Ат800 14,7.6,звоните,,Металлокомплект-М Мск (495) 739-98-92,,Москва,14,Арматура Ат800,Металлопрокат
127,Арматура Ат800 14,11.7,звоните,,Металлокомплект-М Мск (495) 739-98-92,,Москва,14,Арматура Ат800,Металлопрокат
128,Арматура Ат800 14,,звоните,,Металлинвест Чел (351) 220-95-42,,Челябинск,14,Арматура Ат800,Металлопрокат
129,Арматура Ат800 14,6.7,звоните,,СИТИМЕТ СПб (812) 325-33-10,,Санкт-Петербург,14,Арматура Ат800,Металлопрокат
130,Арматура Ат800 14,11.7,звоните,,Металлсервис Бря (4832) 78-31-04,,Брянск,14,Арматура Ат800,Металлопрокат
131,Арматура Ат800 14,6.7,звоните,,Металлсервис Бря (4832) 78-31-04,,Брянск,14,Арматура Ат800,Металлопрокат
132,Арматура Ат800 14,7.6,звоните,,Металлсервис Бря (4832) 78-31-04,,Брянск,14,Арматура Ат800,Металлопрокат
133,Арматура Ат800 14,11.7,звоните,,Металлсервис Пер (342) 249-09-09,,Пермь,14,Арматура Ат800,Металлопрокат
134,Арматура Ат800 14,6.7,звоните,,Металлсервис Пер (342) 249-09-09,,Пермь,14,Арматура Ат800,Металлопрокат
0,Арматура Ат800 16,7.6,61 800 >15т,62 100 5-15т,Металлоторг Вмр (4922) 52-22-44,,Владимир,16,Арматура Ат800,Металлопрокат
1,Арматура Ат800 16,9.5,61 800 >15т,62 100 5-15т,Металлоторг Каз (843) 239-53-83,,Казань,16,Арматура Ат800,Металлопрокат
2,Арматура Ат800 16,,65 730,,Металлинвест Нск (383) 230-95-83,,Новосибирск,16,Арматура Ат800,Металлопрокат
3,Арматура Ат800 16,,66 390,,Металлинвест Крснк (391) 275-95-32,,Красноярск,16,Арматура Ат800,Металлопрокат
4,Арматура Ат800 16,,звоните,,Металлинвест Тюм (345) 253-81-11,,Тюмень,16,Арматура Ат800,Металлопрокат
5,Арматура Ат800 16,11.7,звоните,,Торговый дом ММК Мск (495) 604-16-40,,Москва,16,Арматура Ат800,Металлопрокат
6,Арматура Ат800 16,,звоните,,Металлинвест Пер (342) 259-04-06,,Пермь,16,Арматура Ат800,Металлопрокат
7,Арматура Ат800 16,,звоните,,Металлинвест Орен (353) 254-14-87,,Оренбург,16,Арматура Ат800,Металлопрокат
8,Арматура Ат800 16,,звоните,,Металлинвест Каз (843) 216-94-42,,Казань,16,Арматура Ат800,Металлопрокат
9,Арматура Ат800 16 (от 20т),6-14 м/д,звоните,,Абинский ЭлектроМеталлургический Завод Мск (499) 643-83-04,,Москва,16,Арматура Ат800,Металлопрокат
10,Арматура Ат800 16,,звоните,,Металлинвест Сур (346) 227-17-09,,Сургут,16,Арматура Ат800,Металлопрокат
11,Арматура Ат800 16,,звоните,,Металлинвест Уфа (347) 226-18-25,,Уфа,16,Арматура Ат800,Металлопрокат
12,Арматура Ат800 16,,звоните,,Металлинвест НТ (343) 537-04-78,,Нижний Тагил,16,Арматура Ат800,Металлопрокат
13,Арматура Ат800 16,,звоните,,Металлинвест Крдр (861) 298-29-15,,Краснодар,16,Арматура Ат800,Металлопрокат
14,Арматура Ат800 16,,звоните,,Металлинвест Мск (499) 681-92-14,,Москва,16,Арматура Ат800,Металлопрокат
15,Арматура Ат800 16,,звоните,,Металлинвест Екб (343) 537-04-78,,Екатеринбург,16,Арматура Ат800,Металлопрокат
16,Арматура Ат800 16,,звоните,,Абинский ЭлектроМеталлургический Завод Крдр (861) 504-18-72,,Краснодар,16,Арматура Ат800,Металлопрокат
17,Арматура Ат800 16,,звоните,,Металлинвест Сам (846) 300-25-31,,Самара,16,Арматура Ат800,Металлопрокат
18,Арматура Ат800 16,,звоните,,Металлинвест Чел (351) 220-95-42,,Челябинск,16,Арматура Ат800,Металлопрокат
