,Наименование,Марка стали,Длина,"Цена за 1т, руб. с НДС","Цена за 1т, руб. с НДС.1",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
0,Балка б/у 36Б2,,5,58 000,,Компания ТрубоТорг Мск (495) 223-44-51 доб.,,Москва,36Б2,Балка б/у,Металлопрокат
0,Балка б/у 36М,,,52 000,,ПКФ Сириус Мск (926) 745-05-80 доб.,,Москва,36М,Балка б/у,Металлопрокат
1,Балка б/у 36М,,,55 000,,ТПО СТАЛЬРЕЗЕРВ Мск (495) 374-77-17,,Москва,36М,Балка б/у,Металлопрокат
2,Балка б/у 36М,09Г2С,,57 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,36М,Балка б/у,Металлопрокат
3,Балка б/у 36М,ст3,,57 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,36М,Балка б/у,Металлопрокат
4,Балка б/у 36М,,4-6,58 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,36М,Балка б/у,Металлопрокат
5,Балка б/у 36М,,6-12,58 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,36М,Балка б/у,Металлопрокат
6,Балка б/у 36М,,,60 000,,ТУБУС Мск (495) 188-43-21,,Москва,36М,Балка б/у,Металлопрокат
7,Балка б/у 36М,,,75 000,,Атон Сталь Мск (495) 20-30-400,,Москва,36М,Балка б/у,Металлопрокат
8,Балка б/у 36М,,,звоните,,СтройГруппКомпани Мск (495) 055-55-03,,Москва,36М,Балка б/у,Металлопрокат
9,Балка б/у 36М,,,звоните,,СтройГруппКомпани Мск (495) 055-55-03,,Москва,36М,Балка б/у,Металлопрокат
0,Балка б/у 40,,2.86,18 500,,Промбаза Восток Екб (343) 365-31-22,,Екатеринбург,40,Балка б/у,Металлопрокат
1,Балка б/у 40,,,52 000,,ПКФ Сириус Мск (926) 745-05-80 доб.,,Москва,40,Балка б/у,Металлопрокат
2,Балка б/у 40,,,55 000,,ТПО СТАЛЬРЕЗЕРВ Мск (495) 374-77-17,,Москва,40,Балка б/у,Металлопрокат
3,Балка б/у 40,,4-6,58 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,40,Балка б/у,Металлопрокат
4,Балка б/у 40,,6-12,58 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,40,Балка б/у,Металлопрокат
5,Балка б/у 40,09Г2С,,58 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,40,Балка б/у,Металлопрокат
6,Балка б/у 40,ст3,,58 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,40,Балка б/у,Металлопрокат
7,Балка б/у 40,,,59 000,,Атон Сталь Мск (495) 20-30-400,,Москва,40,Балка б/у,Металлопрокат
8,Балка б/у 40,,н/д,звоните,,СтройГеоРесурс Мск (495) 777-36-46,,Москва,40,Балка б/у,Металлопрокат
0,Балка б/у 40Б1,,6,51 000,,Стройбаза Чер (921) 835-44-88 доб.,,Череповец,40Б1,Балка б/у,Металлопрокат
1,Балка б/у 40Б1,,6,51 000,,Стройбаза Мск (921) 835-44-88 доб.,,Москва,40Б1,Балка б/у,Металлопрокат
2,Балка б/у 40Б1,,,55 000,,ТПО СТАЛЬРЕЗЕРВ Мск (495) 374-77-17,,Москва,40Б1,Балка б/у,Металлопрокат
3,Балка б/у 40Б1,,,56 000,,ПСК ТРАСТ-М Мск (499) 288-00-68,,Москва,40Б1,Балка б/у,Металлопрокат
4,Балка б/у 40Б1,ст3,6-12,57 000,,Риан Групп Мск (926) 602-83-59 доб.,,Москва,40Б1,Балка б/у,Металлопрокат
5,Балка б/у 40Б1,,4-6,58 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,40Б1,Балка б/у,Металлопрокат
6,Балка б/у 40Б1,,6-12,58 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,40Б1,Балка б/у,Металлопрокат
7,Балка б/у 40Б1,09Г2С,,58 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,40Б1,Балка б/у,Металлопрокат
8,Балка б/у 40Б1,ст3,,58 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,40Б1,Балка б/у,Металлопрокат
9,Балка б/у 40Б1,,5,58 000,,Компания ТрубоТорг Мск (495) 223-44-51 доб.,,Москва,40Б1,Балка б/у,Металлопрокат
10,Балка б/у 40Б1,,,59 000,,Атон Сталь Мск (495) 20-30-400,,Москва,40Б1,Балка б/у,Металлопрокат
11,Балка б/у 40Б1,,10-12,73 500,,АВМ Инжиниринг Мск (495) 128-18-34,,Москва,40Б1,Балка б/у,Металлопрокат
0,Балка б/у 40Б2,,,55 000,,ТПО СТАЛЬРЕЗЕРВ Мск (495) 374-77-17,,Москва,40Б2,Балка б/у,Металлопрокат
1,Балка б/у 40Б2,,,56 000,,ПСК ТРАСТ-М Мск (499) 288-00-68,,Москва,40Б2,Балка б/у,Металлопрокат
2,Балка б/у 40Б2,ст3,6-12,57 000,,Риан Групп Мск (926) 602-83-59 доб.,,Москва,40Б2,Балка б/у,Металлопрокат
3,Балка б/у 40Б2,,4-6,58 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,40Б2,Балка б/у,Металлопрокат
4,Балка б/у 40Б2,,6-12,58 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,40Б2,Балка б/у,Металлопрокат
5,Балка б/у 40Б2,09Г2С,,58 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,40Б2,Балка б/у,Металлопрокат
6,Балка б/у 40Б2,ст3,,58 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,40Б2,Балка б/у,Металлопрокат
7,Балка б/у 40Б2,,5,58 000,,Компания ТрубоТорг Мск (495) 223-44-51 доб.,,Москва,40Б2,Балка б/у,Металлопрокат
8,Балка б/у 40Б2,,8.3-12,58 000,,ПКФ Сириус Мск (926) 745-05-80 доб.,,Москва,40Б2,Балка б/у,Металлопрокат
9,Балка б/у 40Б2,,,59 000,,Атон Сталь Мск (495) 20-30-400,,Москва,40Б2,Балка б/у,Металлопрокат
10,Балка б/у 40Б2,,,65 000,,ТУБУС Мск (495) 188-43-21,,Москва,40Б2,Балка б/у,Металлопрокат
11,Балка б/у 40Б2,,12,73 500,,АВМ Инжиниринг Мск (495) 128-18-34,,Москва,40Б2,Балка б/у,Металлопрокат
12,Балка б/у 40Б2,,11-12,звоните,,СТОТРУБ Мск (495) 230-04-84,,Москва,40Б2,Балка б/у,Металлопрокат
0,Балка б/у 40К1,,4-6,58 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,40К1,Балка б/у,Металлопрокат
1,Балка б/у 40К1,,6-12,58 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,40К1,Балка б/у,Металлопрокат
2,Балка б/у 40К1,09Г2С,,58 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,40К1,Балка б/у,Металлопрокат
3,Балка б/у 40К1,ст3,,58 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,40К1,Балка б/у,Металлопрокат
4,Балка б/у 40К1,,,59 000,,Атон Сталь Мск (495) 20-30-400,,Москва,40К1,Балка б/у,Металлопрокат
0,Балка б/у 40К2,,4-6,58 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,40К2,Балка б/у,Металлопрокат
1,Балка б/у 40К2,,6-12,58 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,40К2,Балка б/у,Металлопрокат
2,Балка б/у 40К2,09Г2С,,58 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,40К2,Балка б/у,Металлопрокат
3,Балка б/у 40К2,ст3,,58 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,40К2,Балка б/у,Металлопрокат
0,Балка б/у 40Ш1,,,55 000,,ТПО СТАЛЬРЕЗЕРВ Мск (495) 374-77-17,,Москва,40Ш1,Балка б/у,Металлопрокат
1,Балка б/у 40Ш1,,4-6,58 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,40Ш1,Балка б/у,Металлопрокат
2,Балка б/у 40Ш1,,6-12,58 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,40Ш1,Балка б/у,Металлопрокат
3,Балка б/у 40Ш1,09Г2С,,58 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,40Ш1,Балка б/у,Металлопрокат
4,Балка б/у 40Ш1,ст3,,58 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,40Ш1,Балка б/у,Металлопрокат
5,Балка б/у 40Ш1,,,59 000,,Атон Сталь Мск (495) 20-30-400,,Москва,40Ш1,Балка б/у,Металлопрокат
6,Балка б/у 40Ш1,,,звоните,,СтройГруппКомпани Мск (495) 055-55-03,,Москва,40Ш1,Балка б/у,Металлопрокат
7,Балка б/у 40Ш1,,,звоните,,СтройГруппКомпани Мск (495) 055-55-03,,Москва,40Ш1,Балка б/у,Металлопрокат
0,Балка б/у 40Ш2,,,55 000,,ТПО СТАЛЬРЕЗЕРВ Мск (495) 374-77-17,,Москва,40Ш2,Балка б/у,Металлопрокат
1,Балка б/у 40Ш2,,4-6,58 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,40Ш2,Балка б/у,Металлопрокат
2,Балка б/у 40Ш2,,6-12,58 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,40Ш2,Балка б/у,Металлопрокат
3,Балка б/у 40Ш2,09Г2С,,58 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,40Ш2,Балка б/у,Металлопрокат
4,Балка б/у 40Ш2,ст3,,58 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,40Ш2,Балка б/у,Металлопрокат
0,Балка б/у 45,,,55 000,,ТПО СТАЛЬРЕЗЕРВ Мск (495) 374-77-17,,Москва,45,Балка б/у,Металлопрокат
1,Балка б/у 45,09Г2С,,55 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,45,Балка б/у,Металлопрокат
2,Балка б/у 45,,,55 000,,ПКФ Сириус Мск (926) 745-05-80 доб.,,Москва,45,Балка б/у,Металлопрокат
3,Балка б/у 45,,4-6,58 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,45,Балка б/у,Металлопрокат
4,Балка б/у 45,,6-12,58 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,45,Балка б/у,Металлопрокат
5,Балка б/у 45,ст3,,58 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,45,Балка б/у,Металлопрокат
6,Балка б/у 45,,,59 000,,Атон Сталь Мск (495) 20-30-400,,Москва,45,Балка б/у,Металлопрокат
7,Балка б/у 45,,,звоните,,СтройГруппКомпани Мск (495) 055-55-03,,Москва,45,Балка б/у,Металлопрокат
8,Балка б/у 45,,,звоните,,СтройГруппКомпани Мск (495) 055-55-03,,Москва,45,Балка б/у,Металлопрокат
9,Балка б/у 45,,н/д,звоните,,СтройГеоРесурс Мск (495) 777-36-46,,Москва,45,Балка б/у,Металлопрокат
0,Балка б/у 45Б1,,,55 000,,ТПО СТАЛЬРЕЗЕРВ Мск (495) 374-77-17,,Москва,45Б1,Балка б/у,Металлопрокат
1,Балка б/у 45Б1,09Г2С,,55 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,45Б1,Балка б/у,Металлопрокат
2,Балка б/у 45Б1,,,56 000,,ПСК ТРАСТ-М Мск (499) 288-00-68,,Москва,45Б1,Балка б/у,Металлопрокат
3,Балка б/у 45Б1,ст3,6-12,57 000,,Риан Групп Мск (926) 602-83-59 доб.,,Москва,45Б1,Балка б/у,Металлопрокат
4,Балка б/у 45Б1,,4-6,58 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,45Б1,Балка б/у,Металлопрокат
5,Балка б/у 45Б1,,6-12,58 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,45Б1,Балка б/у,Металлопрокат
6,Балка б/у 45Б1,ст3,,58 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,45Б1,Балка б/у,Металлопрокат
7,Балка б/у 45Б1,,5,58 000,,Компания ТрубоТорг Мск (495) 223-44-51 доб.,,Москва,45Б1,Балка б/у,Металлопрокат
8,Балка б/у 45Б1,,,58 000,,ПКФ Сириус Мск (926) 745-05-80 доб.,,Москва,45Б1,Балка б/у,Металлопрокат
9,Балка б/у 45Б1,,,59 000,,Атон Сталь Мск (495) 20-30-400,,Москва,45Б1,Балка б/у,Металлопрокат
10,Балка б/у 45Б1,,12,73 500,,АВМ Инжиниринг Мск (495) 128-18-34,,Москва,45Б1,Балка б/у,Металлопрокат
11,Балка б/у 45Б1,,,звоните,,СтройГруппКомпани Мск (495) 055-55-03,,Москва,45Б1,Балка б/у,Металлопрокат
12,Балка б/у 45Б1,,,звоните,,СтройГруппКомпани Мск (495) 055-55-03,,Москва,45Б1,Балка б/у,Металлопрокат
0,Балка б/у 45Б2,,,55 000,,ТПО СТАЛЬРЕЗЕРВ Мск (495) 374-77-17,,Москва,45Б2,Балка б/у,Металлопрокат
1,Балка б/у 45Б2,09Г2С,,55 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,45Б2,Балка б/у,Металлопрокат
2,Балка б/у 45Б2,,,56 000,,ПСК ТРАСТ-М Мск (499) 288-00-68,,Москва,45Б2,Балка б/у,Металлопрокат
3,Балка б/у 45Б2,ст3,6-12,57 000,,Риан Групп Мск (926) 602-83-59 доб.,,Москва,45Б2,Балка б/у,Металлопрокат
4,Балка б/у 45Б2,,4-6,58 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,45Б2,Балка б/у,Металлопрокат
5,Балка б/у 45Б2,,6-12,58 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,45Б2,Балка б/у,Металлопрокат
6,Балка б/у 45Б2 лежалая,09Г2С,,58 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,45Б2,Балка б/у,Металлопрокат
7,Балка б/у 45Б2 лежалая,ст3,,58 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,45Б2,Балка б/у,Металлопрокат
8,Балка б/у 45Б2,ст3,,58 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,45Б2,Балка б/у,Металлопрокат
9,Балка б/у 45Б2,,5,58 000,,Компания ТрубоТорг Мск (495) 223-44-51 доб.,,Москва,45Б2,Балка б/у,Металлопрокат
10,Балка б/у 45Б2,,,58 000,,ПКФ Сириус Мск (926) 745-05-80 доб.,,Москва,45Б2,Балка б/у,Металлопрокат
11,Балка б/у 45Б2,,,59 000,,Атон Сталь Мск (495) 20-30-400,,Москва,45Б2,Балка б/у,Металлопрокат
12,Балка б/у 45Б2,,,65 000,,ТУБУС Мск (495) 188-43-21,,Москва,45Б2,Балка б/у,Металлопрокат
13,Балка б/у 45Б2,,5-12,звоните,,СТОТРУБ Мск (495) 230-04-84,,Москва,45Б2,Балка б/у,Металлопрокат
0,Балка б/у 45К1,09Г2С,,55 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,45К1,Балка б/у,Металлопрокат
1,Балка б/у 45К1,,4-6,58 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,45К1,Балка б/у,Металлопрокат
2,Балка б/у 45К1,,6-12,58 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,45К1,Балка б/у,Металлопрокат
3,Балка б/у 45К1,ст3,,58 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,45К1,Балка б/у,Металлопрокат
0,Балка б/у 45К2,,4-6,58 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,45К2,Балка б/у,Металлопрокат
1,Балка б/у 45К2,,6-12,58 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,45К2,Балка б/у,Металлопрокат
0,Балка б/у 45М,,,55 000,,ТПО СТАЛЬРЕЗЕРВ Мск (495) 374-77-17,,Москва,45М,Балка б/у,Металлопрокат
1,Балка б/у 45М,09Г2С,,55 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,45М,Балка б/у,Металлопрокат
2,Балка б/у 45М,,4-6,58 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,45М,Балка б/у,Металлопрокат
3,Балка б/у 45М,,6-12,58 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,45М,Балка б/у,Металлопрокат
4,Балка б/у 45М,ст3,,58 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,45М,Балка б/у,Металлопрокат
5,Балка б/у 45М,,,60 000,,ТУБУС Мск (495) 188-43-21,,Москва,45М,Балка б/у,Металлопрокат
6,Балка б/у 45М,,,75 000,,Атон Сталь Мск (495) 20-30-400,,Москва,45М,Балка б/у,Металлопрокат
7,Балка б/у 45М,,11.2-12,84 000,,Промбаза Восток Екб (343) 365-31-22,,Екатеринбург,45М,Балка б/у,Металлопрокат
8,Балка б/у 45М,,,звоните,,СтройГруппКомпани Мск (495) 055-55-03,,Москва,45М,Балка б/у,Металлопрокат
9,Балка б/у 45М,,,звоните,,СтройГруппКомпани Мск (495) 055-55-03,,Москва,45М,Балка б/у,Металлопрокат
0,Балка б/у 45Ш1,,,55 000,,ТПО СТАЛЬРЕЗЕРВ Мск (495) 374-77-17,,Москва,45Ш1,Балка б/у,Металлопрокат
1,Балка б/у 45Ш1,09Г2С,,55 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,45Ш1,Балка б/у,Металлопрокат
2,Балка б/у 45Ш1,,4-6,58 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,45Ш1,Балка б/у,Металлопрокат
3,Балка б/у 45Ш1,,6-12,58 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,45Ш1,Балка б/у,Металлопрокат
4,Балка б/у 45Ш1,ст3,,58 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,45Ш1,Балка б/у,Металлопрокат
0,Балка б/у 45Ш2,,,55 000,,ТПО СТАЛЬРЕЗЕРВ Мск (495) 374-77-17,,Москва,45Ш2,Балка б/у,Металлопрокат
1,Балка б/у 45Ш2,,4-6,58 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,45Ш2,Балка б/у,Металлопрокат
2,Балка б/у 45Ш2,,6-12,58 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,45Ш2,Балка б/у,Металлопрокат
0,Балка б/у 50,,,52 000,,ПКФ Сириус Мск (926) 745-05-80 доб.,,Москва,50,Балка б/у,Металлопрокат
1,Балка б/у 50,,,55 000,,Атон Сталь Мск (495) 20-30-400,,Москва,50,Балка б/у,Металлопрокат
2,Балка б/у 50,,,55 000,,ТПО СТАЛЬРЕЗЕРВ Мск (495) 374-77-17,,Москва,50,Балка б/у,Металлопрокат
3,Балка б/у 50,09Г2С,,55 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,50,Балка б/у,Металлопрокат
4,Балка б/у 50,09Г2С,,55 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,50,Балка б/у,Металлопрокат
5,Балка б/у 50,ст3,,55 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,50,Балка б/у,Металлопрокат
6,Балка б/у 50,ст3,,55 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,50,Балка б/у,Металлопрокат
7,Балка б/у 50,,,56 000,,ПСК ТРАСТ-М Мск (499) 288-00-68,,Москва,50,Балка б/у,Металлопрокат
8,Балка б/у 50,,4-6,56 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,50,Балка б/у,Металлопрокат
9,Балка б/у 50,,6-12,56 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,50,Балка б/у,Металлопрокат
10,Балка б/у 50,,,звоните,,СтройГруппКомпани Мск (495) 055-55-03,,Москва,50,Балка б/у,Металлопрокат
11,Балка б/у 50,,,звоните,,СтройГруппКомпани Мск (495) 055-55-03,,Москва,50,Балка б/у,Металлопрокат
12,Балка б/у 50,,н/д,звоните,,СтройГеоРесурс Мск (495) 777-36-46,,Москва,50,Балка б/у,Металлопрокат
0,Балка б/у 50Б1,,,55 000,,ТПО СТАЛЬРЕЗЕРВ Мск (495) 374-77-17,,Москва,50Б1,Балка б/у,Металлопрокат
1,Балка б/у 50Б1,09Г2С,,55 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,50Б1,Балка б/у,Металлопрокат
2,Балка б/у 50Б1 лежалая,09Г2С,,55 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,50Б1,Балка б/у,Металлопрокат
3,Балка б/у 50Б1,ст3,,55 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,50Б1,Балка б/у,Металлопрокат
4,Балка б/у 50Б1 лежалая,ст3,,55 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,50Б1,Балка б/у,Металлопрокат
5,Балка б/у 50Б1,,,56 000,,ПСК ТРАСТ-М Мск (499) 288-00-68,,Москва,50Б1,Балка б/у,Металлопрокат
6,Балка б/у 50Б1,,4-6,56 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,50Б1,Балка б/у,Металлопрокат
7,Балка б/у 50Б1,,6-12,56 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,50Б1,Балка б/у,Металлопрокат
8,Балка б/у 50Б1,ст3,9-12,57 000,,Риан Групп Мск (926) 602-83-59 доб.,,Москва,50Б1,Балка б/у,Металлопрокат
9,Балка б/у 50Б1,,11,58 000,,ПКФ Сириус Мск (926) 745-05-80 доб.,,Москва,50Б1,Балка б/у,Металлопрокат
10,Балка б/у 50Б1,,,59 000,,Атон Сталь Мск (495) 20-30-400,,Москва,50Б1,Балка б/у,Металлопрокат
11,Балка б/у 50Б1,,,65 000,,ТУБУС Мск (495) 188-43-21,,Москва,50Б1,Балка б/у,Металлопрокат
0,Балка б/у 50Б2,,,55 000,,ТПО СТАЛЬРЕЗЕРВ Мск (495) 374-77-17,,Москва,50Б2,Балка б/у,Металлопрокат
1,Балка б/у 50Б2,09Г2С,,55 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,50Б2,Балка б/у,Металлопрокат
2,Балка б/у 50Б2,ст3,,55 000,,ТД НСК-Металл Мск (499) 322-12-21,,Москва,50Б2,Балка б/у,Металлопрокат
3,Балка б/у 50Б2,,4-6,56 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,50Б2,Балка б/у,Металлопрокат
4,Балка б/у 50Б2,,6-12,56 000,,ЕМГ-Групп Мск (495) 775-74-61,,Москва,50Б2,Балка б/у,Металлопрокат
5,Балка б/у 50Б2,ст3,9-12,57 000,,Риан Групп Мск (926) 602-83-59 доб.,,Москва,50Б2,Балка б/у,Металлопрокат
6,Балка б/у 50Б2,,,58 000,,ПКФ Сириус Мск (926) 745-05-80 доб.,,Москва,50Б2,Балка б/у,Металлопрокат
7,Балка б/у 50Б2,,,65 000,,ТУБУС Мск (495) 188-43-21,,Москва,50Б2,Балка б/у,Металлопрокат
8,Балка б/у 50Б2,,,звоните,,СтройГруппКомпани Мск (495) 055-55-03,,Москва,50Б2,Балка б/у,Металлопрокат
